date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.382,2.583,2.031,1.093,,
2022-07-12,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.373,2.582,2.023,1.085,,
2022-07-13,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.37,2.586,2.015,1.081,,
2022-07-14,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.358,2.58,2.006,1.068,,
2022-07-15,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.35,2.566,2.004,1.071,,
2022-07-16,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.338,2.562,2.001,1.071,,
2022-07-17,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.333,2.563,2.0,1.071,,
2022-07-18,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.315,2.568,1.996,1.071,,
2022-07-19,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.315,2.568,1.996,1.071,,
2022-07-20,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.285,2.552,1.989,1.065,,
2022-07-21,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.276,2.542,1.986,1.063,,
2022-07-22,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.255,2.522,1.977,1.052,,
2022-07-23,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.242,2.515,1.97,1.051,,
2022-07-24,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.239,2.514,1.966,1.051,,
2022-07-25,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.219,2.516,1.051,,,1.952
2022-07-26,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.21,2.508,1.051,,,1.944
2022-07-27,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.201,2.492,1.936,1.048,,
2022-07-28,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.196,2.49,1.933,1.04,,
2022-07-29,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.188,2.476,1.925,1.029,,
2022-07-30,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.181,2.469,1.919,1.031,,
2022-07-31,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.181,2.467,1.918,1.029,,
2022-08-01,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.179,2.459,1.916,1.029,,
2022-08-02,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.179,2.454,1.912,1.029,,
2022-08-03,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.176,2.452,1.906,1.029,,
2022-08-04,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.167,2.444,1.891,1.029,,
2022-08-05,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.158,2.426,1.88,1.017,,
2022-08-06,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.14,2.415,1.868,1.017,,
2022-08-07,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.137,2.413,1.867,1.008,,
2022-08-08,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.109,2.409,1.851,1.014,,
2022-08-09,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.088,2.39,1.844,1.008,,
2022-08-10,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.082,2.391,1.838,0.993,,
2022-08-11,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.073,2.381,1.83,0.991,,
2022-08-12,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.066,2.343,1.821,0.985,,
2022-08-13,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.063,2.343,1.82,0.985,,
2022-08-14,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.062,2.345,1.82,0.985,,
2022-08-15,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.061,2.346,1.819,0.985,,
2022-08-16,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.061,2.351,1.816,0.983,,
2022-08-17,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.062,2.349,1.822,0.98,,
2022-08-18,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.061,2.349,1.824,0.98,,
2022-08-19,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.06,2.347,1.829,0.977,,
2022-08-20,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.062,2.345,1.836,0.98,,
2022-08-21,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.061,2.347,1.837,0.98,,
2022-08-22,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.061,2.343,1.851,0.974,,
2022-08-23,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.064,2.34,1.87,0.975,,
2022-08-24,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.065,2.344,1.88,0.975,,
2022-08-25,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.068,2.343,1.893,0.975,,
2022-08-26,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.071,2.335,1.905,0.975,,
2022-08-27,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.071,2.335,1.918,0.975,,
2022-08-28,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.07,2.341,1.92,0.976,,
