date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.299,2.516,1.966,0.99,,2.105
2022-07-12,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.295,2.518,1.957,0.984,,2.105
2022-07-13,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.293,2.519,1.954,0.98,,2.105
2022-07-14,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.285,2.511,1.952,0.976,,2.105
2022-07-15,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.268,2.496,1.947,0.972,,2.105
2022-07-16,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.246,2.476,1.946,0.968,,2.105
2022-07-17,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.242,2.476,1.946,0.966,,1.824
2022-07-18,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.227,2.468,1.944,0.961,,1.824
2022-07-19,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.227,2.468,1.944,0.961,,1.824
2022-07-20,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.204,2.452,1.94,0.956,,1.824
2022-07-21,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.185,2.433,1.934,0.953,,1.622
2022-07-22,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.164,2.41,1.92,0.949,,2.273
2022-07-23,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.145,2.396,1.904,0.946,,2.195
2022-07-24,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.14,2.392,1.899,0.944,,2.429
2022-07-25,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.129,2.38,0.941,,,1.888
2022-07-26,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.119,2.375,0.938,,,1.875
2022-07-27,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.113,2.362,1.866,0.933,,
2022-07-28,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.11,2.356,1.863,0.93,,
2022-07-29,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.111,2.344,1.862,0.928,,
2022-07-30,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.112,2.343,1.863,0.926,,
