date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.342,2.56,2.018,1.155,,
2022-07-12,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.336,2.56,2.009,1.148,,
2022-07-13,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.333,2.555,2.004,1.145,,
2022-07-14,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.326,2.548,1.998,1.143,,
2022-07-15,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.318,2.539,1.995,1.143,,
2022-07-16,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.302,2.53,1.992,1.14,,
2022-07-17,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.293,2.526,1.989,1.14,,
2022-07-18,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.272,2.51,1.987,1.134,,
2022-07-19,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.272,2.51,1.987,1.134,,
2022-07-20,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.249,2.5,1.983,1.128,,
2022-07-21,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.233,2.486,1.978,1.125,,
2022-07-22,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.214,2.463,1.965,1.122,,
2022-07-23,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.2,2.457,1.956,1.123,,
2022-07-24,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.197,2.452,1.952,1.122,,
2022-07-25,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.185,2.449,1.122,,,1.946
2022-07-26,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.168,2.436,1.121,,,1.922
2022-07-27,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.16,2.418,1.914,1.116,,
2022-07-28,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.155,2.414,1.907,1.114,,
2022-07-29,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.152,2.403,1.905,1.112,,
2022-07-30,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.154,2.405,1.905,1.11,,
2022-07-31,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.154,2.407,1.905,1.11,,
2022-08-01,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.152,2.408,1.905,1.108,,
2022-08-02,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.15,2.411,1.903,1.107,,
2022-08-03,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.145,2.405,1.893,1.106,,
2022-08-04,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.139,2.396,1.886,1.106,,
2022-08-05,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.124,2.374,1.871,1.104,,
2022-08-06,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.104,2.361,1.857,1.101,,
2022-08-07,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.098,2.36,1.854,1.101,,
2022-08-08,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.08,2.348,1.844,1.096,,
2022-08-09,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.069,2.342,1.833,1.096,,
2022-08-10,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.056,2.322,1.824,1.091,,
2022-08-11,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.044,2.304,1.815,1.085,,
2022-08-12,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.041,2.287,1.811,1.077,,
2022-08-13,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.039,2.293,1.811,1.077,,
2022-08-14,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.04,2.294,1.811,1.077,,
2022-08-15,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.04,2.3,1.812,1.077,,
2022-08-16,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.039,2.302,1.815,1.072,,
2022-08-17,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.043,2.302,1.822,1.072,,
2022-08-18,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.045,2.299,1.828,1.072,,
2022-08-19,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.044,2.291,1.836,1.066,,
2022-08-20,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.044,2.292,1.844,1.064,,
2022-08-21,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.044,2.291,1.845,1.064,,
2022-08-22,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.044,2.297,1.853,1.062,,
2022-08-23,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.046,2.299,1.862,1.06,,1.847
2022-08-24,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.051,2.296,1.879,1.057,,
2022-08-25,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.055,2.301,1.901,1.057,,
2022-08-26,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.057,2.296,1.925,1.055,,
2022-08-27,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.054,2.294,1.941,1.054,,
2022-08-28,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.055,2.295,1.948,1.054,,
2022-08-29,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.054,2.299,1.959,1.053,,
2022-08-30,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.055,2.301,1.97,1.052,,
2022-08-31,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.05,2.297,1.979,1.052,,
2022-09-01,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.042,2.293,1.979,1.052,,
2022-09-02,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.029,2.273,1.972,1.053,,
2022-09-03,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.013,2.269,1.964,1.052,,
2022-09-04,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.009,2.268,1.962,1.052,,
2022-09-05,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.0,2.264,1.952,1.052,,
2022-09-06,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.991,2.257,1.942,1.051,,
2022-09-07,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.984,2.241,1.938,1.053,,
2022-09-08,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.98,2.239,1.935,1.053,,
2022-09-09,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.973,2.224,1.932,1.053,,
2022-09-10,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.969,2.225,1.929,1.054,,
2022-09-11,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.968,2.224,1.928,1.053,,
2022-09-12,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.966,2.217,1.923,1.052,,
2022-09-13,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.962,2.216,1.918,1.04,,
2022-09-14,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.96,2.213,1.914,1.041,,
2022-09-15,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.957,2.215,1.909,1.04,,
2022-09-16,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.955,2.202,1.896,1.039,,
2022-09-17,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.956,2.205,1.885,1.038,,
2022-09-18,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.956,2.207,1.881,1.038,,
2022-09-19,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.955,2.214,1.871,1.041,,
2022-09-20,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.955,2.215,1.04,,,1.858
2022-09-21,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.955,2.21,1.038,,,1.85
2022-09-22,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.954,2.21,1.039,,,1.839
2022-09-23,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.954,2.202,1.835,1.039,,
2022-09-24,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.952,2.202,1.834,1.034,,
2022-09-25,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.952,2.201,1.831,1.032,,
2022-09-26,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.954,2.203,1.832,1.03,,
2022-09-27,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.955,2.206,1.83,1.027,,
2022-09-28,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.956,2.198,1.832,1.027,,
2022-09-29,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.962,2.2,1.022,,,1.834
2022-09-30,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.974,2.193,1.022,,,1.843
2022-10-01,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.985,2.198,1.022,,,1.875
2022-10-02,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.987,2.202,1.02,,,1.886
2022-10-03,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.992,2.209,1.02,,,1.916
2022-10-04,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.995,2.212,1.021,,,1.938
2022-10-05,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.997,2.208,1.017,,,1.959
2022-10-06,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.999,2.212,1.977,1.019,,
2022-10-07,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.006,2.211,1.021,,,2.005
2022-10-08,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.018,2.222,1.023,,,2.052
2022-10-09,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.019,2.222,1.023,,,2.058
2022-10-10,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.023,2.232,1.025,,,2.079
2022-10-11,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.032,2.242,1.033,,,2.113
2022-10-12,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.038,2.248,2.136,1.045,,
2022-10-13,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.041,2.249,1.051,,,2.146
2022-10-14,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.043,2.242,2.158,1.052,1.398,
2022-10-15,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.043,2.244,2.159,1.053,1.405,
2022-10-16,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.043,2.245,1.053,1.406,,2.159
2022-10-17,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.04,2.249,2.16,1.057,1.409,
2022-10-18,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.038,2.258,1.056,1.409,,2.159
2022-10-19,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.037,2.256,2.16,1.055,1.412,
2022-10-20,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.033,2.254,2.158,1.053,1.41,
2022-10-21,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.029,2.244,2.155,1.05,1.407,
2022-10-22,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.029,2.245,2.154,1.048,1.406,
2022-10-23,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.029,2.245,2.153,1.048,1.405,
2022-10-24,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.027,2.248,2.149,1.049,1.402,
2022-10-25,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.025,2.25,1.048,1.399,,2.142
2022-10-26,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.025,2.245,2.137,1.05,1.397,
2022-10-27,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.027,2.246,1.051,1.395,,2.129
2022-10-28,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.028,2.234,1.051,1.394,,2.126
2022-10-29,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.034,2.235,1.051,1.392,,2.121
2022-10-30,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.035,2.239,1.051,1.392,,2.119
2022-10-31,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.038,2.247,1.051,1.392,,2.117
2022-11-01,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.043,2.251,1.05,1.385,,2.111
2022-11-02,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.05,2.254,2.107,1.049,1.376,
