date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.355,2.575,2.017,1.099,,2.049
2022-07-12,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.348,2.572,2.006,1.097,,2.049
2022-07-13,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.341,2.568,2.0,1.092,,2.049
2022-07-14,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.337,2.567,1.995,1.088,,2.049
2022-07-15,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.325,2.555,1.994,1.085,,
2022-07-16,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.314,2.552,1.986,1.084,,
2022-07-17,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.313,2.55,1.984,1.083,,
2022-07-18,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.289,2.542,1.98,1.082,,
2022-07-19,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.289,2.542,1.98,1.082,,
2022-07-20,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.263,2.536,1.973,1.067,,
2022-07-21,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.248,2.519,1.969,1.067,,
2022-07-22,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.232,2.497,1.962,1.065,,
2022-07-23,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.217,2.486,1.948,1.061,,
2022-07-24,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.212,2.481,1.941,1.061,,1.979
2022-07-25,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.202,2.464,1.061,,1.979,1.933
2022-07-26,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.188,2.456,1.06,,1.979,1.923
2022-07-28,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.174,2.442,1.913,1.053,,
2022-07-29,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.17,2.435,1.909,1.052,,
2022-07-30,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.166,2.434,1.908,1.046,,
2022-07-31,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.166,2.437,1.908,1.045,,
2022-08-01,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.163,2.438,1.905,1.043,,
2022-08-02,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.161,2.439,1.897,1.039,,
2022-08-03,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.159,2.436,1.889,1.039,,1.839
2022-08-04,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.149,2.423,1.876,1.038,,1.839
2022-08-05,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.138,2.408,1.863,1.033,,1.839
2022-08-06,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.126,2.401,1.85,1.032,,1.839
2022-08-07,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.122,2.394,1.847,1.029,,1.839
2022-08-08,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.105,2.381,1.838,1.027,,
2022-08-09,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.086,2.374,1.828,1.025,,
2022-08-10,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.075,2.369,1.824,1.019,,
2022-08-11,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.068,2.356,1.818,1.013,,
2022-08-12,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.058,2.357,1.811,1.012,,
2022-08-13,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.056,2.35,1.81,1.012,,
2022-08-14,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.059,2.351,1.81,1.012,,
2022-08-15,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.057,2.349,1.809,1.012,,
