date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.349,2.555,2.005,1.074,,
2022-07-12,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.341,2.556,1.992,1.066,,
2022-07-13,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.334,2.55,1.983,1.059,,
2022-07-14,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.327,2.55,1.977,1.051,,
2022-07-15,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.312,2.534,1.97,1.051,,
2022-07-16,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.293,2.53,1.964,1.047,,
2022-07-17,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.288,2.514,1.963,1.047,,
2022-07-18,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.272,2.511,1.954,1.042,,
2022-07-19,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.272,2.511,1.954,1.042,,
2022-07-20,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.253,2.518,1.953,1.042,,
2022-07-21,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.246,2.516,1.954,1.041,,
2022-07-22,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.224,2.516,1.942,1.034,,
2022-07-23,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.213,2.497,1.93,1.019,,
2022-07-24,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.21,2.497,1.929,1.019,,
2022-07-25,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.186,2.469,1.008,,,1.917
2022-07-26,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.173,2.477,0.999,,,1.899
2022-07-27,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.159,2.472,1.89,0.999,,
2022-07-28,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.154,2.472,1.887,0.998,,
2022-07-29,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.154,2.472,1.887,0.998,,
2022-07-30,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.149,2.477,1.885,0.998,,
2022-07-31,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.147,2.477,1.884,0.998,,
2022-08-01,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.143,2.449,1.882,0.995,,
2022-08-02,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.137,2.44,1.877,0.993,,
2022-08-03,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.132,2.444,1.87,0.991,,
2022-08-04,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.13,2.444,1.868,0.991,,
2022-08-05,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.121,2.423,1.861,0.988,,
2022-08-06,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.108,2.349,1.845,0.985,,
