date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΕΒΡΟΥ,2.359,2.551,2.026,1.165,,
2022-07-12,ΝΟΜΟΣ ΕΒΡΟΥ,2.355,2.551,2.017,1.162,,
2022-07-13,ΝΟΜΟΣ ΕΒΡΟΥ,2.35,2.548,2.009,1.161,,
2022-07-14,ΝΟΜΟΣ ΕΒΡΟΥ,2.348,2.541,2.005,1.161,,
2022-07-15,ΝΟΜΟΣ ΕΒΡΟΥ,2.332,2.523,1.993,1.161,,
2022-07-16,ΝΟΜΟΣ ΕΒΡΟΥ,2.323,2.515,1.989,1.156,,
2022-07-17,ΝΟΜΟΣ ΕΒΡΟΥ,2.32,2.519,1.987,1.156,,
2022-07-18,ΝΟΜΟΣ ΕΒΡΟΥ,2.311,2.512,1.985,1.151,,
2022-07-19,ΝΟΜΟΣ ΕΒΡΟΥ,2.311,2.512,1.985,1.151,,
2022-07-20,ΝΟΜΟΣ ΕΒΡΟΥ,2.286,2.493,1.981,1.135,,
2022-07-21,ΝΟΜΟΣ ΕΒΡΟΥ,2.272,2.473,1.978,1.123,,
2022-07-22,ΝΟΜΟΣ ΕΒΡΟΥ,2.253,2.451,1.97,1.123,,
2022-07-23,ΝΟΜΟΣ ΕΒΡΟΥ,2.237,2.448,1.962,1.114,,
2022-07-24,ΝΟΜΟΣ ΕΒΡΟΥ,2.231,2.448,1.962,1.104,,
2022-07-25,ΝΟΜΟΣ ΕΒΡΟΥ,2.213,2.442,1.1,,,1.956
2022-07-26,ΝΟΜΟΣ ΕΒΡΟΥ,2.201,2.428,1.095,,,1.941
2022-07-27,ΝΟΜΟΣ ΕΒΡΟΥ,2.179,2.413,1.926,1.091,,
2022-07-28,ΝΟΜΟΣ ΕΒΡΟΥ,2.174,2.4,1.924,1.089,,
2022-07-29,ΝΟΜΟΣ ΕΒΡΟΥ,2.172,2.375,1.923,1.086,,
2022-07-30,ΝΟΜΟΣ ΕΒΡΟΥ,2.171,2.377,1.921,1.083,,
2022-07-31,ΝΟΜΟΣ ΕΒΡΟΥ,2.168,2.383,1.921,1.083,,
2022-08-01,ΝΟΜΟΣ ΕΒΡΟΥ,2.167,2.383,1.917,1.079,,
2022-08-02,ΝΟΜΟΣ ΕΒΡΟΥ,2.166,2.388,1.911,1.083,,
2022-08-03,ΝΟΜΟΣ ΕΒΡΟΥ,2.159,2.373,1.904,1.078,,
2022-08-04,ΝΟΜΟΣ ΕΒΡΟΥ,2.154,2.363,1.9,1.078,,
2022-08-05,ΝΟΜΟΣ ΕΒΡΟΥ,2.143,2.353,1.888,1.076,,
2022-08-06,ΝΟΜΟΣ ΕΒΡΟΥ,2.136,2.35,1.882,1.072,,
2022-08-07,ΝΟΜΟΣ ΕΒΡΟΥ,2.131,2.335,1.879,1.073,,
2022-08-08,ΝΟΜΟΣ ΕΒΡΟΥ,2.119,2.331,1.869,1.073,,
2022-08-09,ΝΟΜΟΣ ΕΒΡΟΥ,2.11,2.332,1.854,1.071,,
2022-08-10,ΝΟΜΟΣ ΕΒΡΟΥ,2.092,2.314,1.839,1.064,,
2022-08-11,ΝΟΜΟΣ ΕΒΡΟΥ,2.076,2.297,1.821,1.059,,
