date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.379,2.542,2.045,1.211,,
2022-07-12,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.362,2.548,2.025,1.211,,
2022-07-13,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.358,2.539,2.02,1.197,,
2022-07-14,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.355,2.547,2.005,1.197,,
2022-07-15,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.36,2.544,2.01,1.183,,
2022-07-16,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.334,2.517,2.008,1.183,,
2022-07-17,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.332,2.515,2.009,1.183,,
2022-07-18,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.322,2.52,2.008,1.183,,
2022-07-19,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.322,2.52,2.008,1.183,,
2022-07-20,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.295,2.488,2.0,1.169,,
2022-07-21,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.276,2.469,1.997,1.154,,
2022-07-22,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.27,2.466,1.996,1.154,,
2022-07-23,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.26,2.459,1.979,1.154,,
2022-07-24,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.247,2.464,1.969,1.154,,
2022-07-25,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.241,2.457,1.154,,,1.963
2022-07-26,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.223,2.449,1.154,,,1.951
2022-07-27,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.219,2.443,1.946,1.136,,
2022-07-28,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.215,2.438,1.94,1.136,,
2022-07-29,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.199,2.411,1.93,1.136,,
2022-07-30,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.2,2.416,1.933,1.129,,
2022-07-31,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.2,2.417,1.926,1.116,,
2022-08-01,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.201,2.417,1.924,1.116,,
2022-08-02,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.203,2.425,1.927,1.111,,
2022-08-03,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.195,2.428,1.922,1.111,,
2022-08-04,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.193,2.429,1.918,1.111,,
2022-08-05,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.184,2.41,1.913,1.111,,
2022-08-06,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.155,2.376,1.889,1.071,,
2022-08-07,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.15,2.376,1.884,1.071,,
2022-08-08,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.143,2.373,1.872,1.071,,
2022-08-09,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.124,2.354,1.862,1.102,,
2022-08-10,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.113,2.346,1.86,1.095,,
2022-08-11,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.081,2.326,1.843,1.089,,
2022-08-12,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.072,2.318,1.841,1.085,,
2022-08-13,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.071,2.31,1.834,1.085,,
2022-08-14,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.071,2.292,1.833,1.085,,
2022-08-15,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.074,2.292,1.837,1.085,,
2022-08-16,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.074,2.287,1.838,1.085,,
2022-08-17,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.078,2.289,1.844,1.085,,
2022-08-18,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.074,2.289,1.843,1.085,,
2022-08-19,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.077,2.283,1.846,1.085,,
2022-08-20,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.077,2.277,1.852,1.085,,
2022-08-21,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.071,2.281,1.854,1.085,,
2022-08-22,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.074,2.287,1.858,1.085,,
2022-08-23,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.073,2.276,1.864,1.085,,
2022-08-24,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.075,2.272,1.873,1.085,,
2022-08-25,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.075,2.277,1.878,1.057,,
2022-08-26,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.076,2.276,1.894,1.057,,
2022-08-27,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.081,2.306,1.919,1.057,,
2022-08-28,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.082,2.297,1.928,1.049,,
2022-08-29,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.085,2.304,1.947,1.049,,
2022-08-30,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.096,2.287,1.984,1.049,,
2022-08-31,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.091,2.284,1.99,1.049,,
2022-09-01,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.085,2.282,1.991,1.061,,
2022-09-02,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.082,2.274,1.991,1.061,,
2022-09-03,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.08,2.249,1.997,1.061,,
2022-09-04,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.073,2.249,1.992,1.061,,
2022-09-05,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.068,2.244,1.989,1.061,,
2022-09-06,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.034,2.23,1.968,1.061,,
2022-09-07,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.033,2.238,1.962,1.08,,
2022-09-08,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.031,2.233,1.96,1.08,,
2022-09-09,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.025,2.227,1.958,1.073,,
2022-09-10,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.018,2.223,1.947,1.053,,
2022-09-11,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.018,2.223,1.947,1.053,,
2022-09-12,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.017,2.228,1.947,1.053,,
2022-09-13,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.013,2.228,1.944,1.053,,
2022-09-14,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.005,2.227,1.938,1.053,,
2022-09-15,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.008,2.228,1.929,1.053,,
2022-09-16,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.002,2.222,1.921,1.053,,
2022-09-17,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.999,2.218,1.909,1.061,,
2022-09-18,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.999,2.216,1.91,1.061,,
2022-09-19,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.999,2.222,1.904,1.061,,
2022-09-20,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.999,2.22,1.038,,,1.896
2022-09-21,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.999,2.215,1.038,,,1.893
2022-09-22,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.987,2.215,1.038,,,1.89
2022-09-23,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.988,2.196,1.886,1.038,,
2022-09-24,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.989,2.196,1.88,1.048,,
2022-09-25,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.989,2.202,1.876,1.048,,
2022-09-26,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.987,2.188,1.869,1.034,,
2022-09-27,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.988,2.193,1.864,1.034,,
2022-09-28,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.987,2.188,1.862,1.034,,
2022-09-29,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.991,2.187,1.034,,,1.862
2022-09-30,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.992,2.185,1.034,,,1.859
2022-10-01,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.002,2.213,1.027,,,1.865
2022-10-02,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.009,2.216,1.027,,,1.868
2022-10-03,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.011,2.212,1.027,,,1.869
2022-10-04,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.012,2.213,1.027,,,1.886
2022-10-05,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.014,2.212,1.027,,,1.896
2022-10-06,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.02,2.213,1.918,1.027,,
2022-10-07,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.023,2.211,1.027,,,1.944
2022-10-08,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.036,2.21,1.027,,,1.98
2022-10-09,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.036,2.215,1.027,,,1.994
2022-10-10,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.039,2.221,0.999,,,2.009
2022-10-11,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.044,2.222,0.999,,,2.031
2022-10-12,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.045,2.225,2.051,0.999,,
2022-10-13,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.054,2.235,1.019,,,2.088
2022-10-14,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.06,2.232,2.097,1.043,,
2022-10-15,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.062,2.233,2.099,1.043,,
2022-10-16,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.062,2.236,1.043,1.44,,2.101
2022-10-17,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.061,2.231,2.114,1.043,1.44,
2022-10-18,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.069,2.247,1.043,1.436,,2.125
2022-10-19,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.067,2.247,2.127,1.043,1.426,
2022-10-20,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.065,2.245,2.134,1.053,1.417,
2022-10-21,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.067,2.243,2.137,1.061,1.413,
2022-10-22,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.063,2.242,2.153,1.061,1.409,
2022-10-23,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.063,2.238,2.16,1.085,1.409,
2022-10-24,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.053,2.241,2.16,1.1,1.409,
2022-10-25,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.048,2.236,1.1,1.409,,2.145
2022-10-26,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.048,2.236,2.145,1.1,1.409,
2022-10-27,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.045,2.236,1.1,1.409,,2.145
2022-10-28,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.048,2.231,1.1,1.412,,2.142
2022-10-29,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.048,2.231,1.1,1.408,,2.138
2022-10-30,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.047,2.231,1.1,1.408,,2.136
2022-10-31,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.046,2.234,1.1,1.408,,2.136
2022-11-01,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.059,2.234,1.1,1.406,,2.138
2022-11-02,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.069,2.242,2.135,1.1,1.407,
2022-11-03,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.066,2.234,2.133,1.1,1.401,
2022-11-04,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.073,2.232,1.1,1.403,,2.132
2022-11-05,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.096,2.257,2.121,1.115,1.386,
2022-11-06,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.099,2.257,2.12,1.126,1.386,
2022-11-07,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.11,2.256,2.12,1.126,1.383,
2022-11-08,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.119,2.249,1.132,1.374,,2.119
2022-11-09,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.136,2.285,1.139,1.37,,2.12
2022-11-10,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.138,2.285,1.139,1.37,,2.122
2022-11-11,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.141,2.276,2.121,1.139,1.363,
2022-11-12,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.141,2.271,2.114,1.139,1.362,
2022-11-13,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.141,2.274,2.114,1.139,1.362,
2022-11-14,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.142,2.278,2.113,1.139,1.362,
2022-11-15,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.142,2.274,1.147,1.357,,2.113
2022-11-16,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.138,2.282,2.096,1.147,1.347,
2022-11-17,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.13,2.282,2.091,1.147,1.336,
2022-11-18,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.12,2.277,2.082,1.144,1.306,
2022-11-19,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.111,2.271,2.068,1.144,1.299,
2022-11-20,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.111,2.271,2.062,1.144,1.296,
2022-11-21,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.097,2.265,2.05,1.144,1.278,
2022-11-22,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.097,2.261,1.144,1.278,,2.05
2022-11-23,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.087,2.257,1.144,1.269,,2.045
2022-11-24,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.059,2.24,2.011,1.136,1.255,
2022-11-25,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.037,2.215,1.999,1.136,1.249,
2022-11-26,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.021,2.206,1.988,1.136,1.241,
2022-11-27,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.02,2.204,1.985,1.136,1.24,
2022-11-28,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.012,2.199,1.136,1.229,,1.977
2022-11-29,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.001,2.193,1.136,1.225,,1.972
