date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.324,2.521,1.987,1.003,,
2022-07-12,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.317,2.518,1.976,0.999,,
2022-07-13,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.313,2.517,1.972,0.994,,
2022-07-14,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.302,2.507,1.97,0.991,,
2022-07-15,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.297,2.507,1.966,0.989,,
2022-07-16,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.282,2.495,1.962,0.981,,
2022-07-17,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.275,2.491,1.962,0.979,,
2022-07-18,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.26,2.481,1.956,0.977,,
2022-07-19,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.26,2.481,1.956,0.977,,
2022-07-20,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.229,2.471,1.949,0.971,,
2022-07-21,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.215,2.459,1.946,0.969,,
2022-07-22,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.195,2.438,1.935,0.964,,
2022-07-23,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.185,2.428,1.927,0.961,,
2022-07-24,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.179,2.421,1.925,0.96,,
2022-07-25,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.169,2.406,0.96,,,1.914
2022-07-26,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.146,2.409,0.954,,,1.892
2022-07-27,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.13,2.4,1.882,0.952,,
2022-07-28,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.127,2.39,1.879,0.95,,
2022-07-29,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.125,2.385,1.878,0.949,,
2022-07-30,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.12,2.378,1.875,0.944,,
2022-07-31,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.117,2.377,1.876,0.944,,
2022-08-01,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.117,2.372,1.874,0.939,,
2022-08-02,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.116,2.369,1.868,0.93,,
2022-08-03,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.115,2.366,1.865,0.927,,
2022-08-04,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.108,2.36,1.855,0.925,,
2022-08-05,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.096,2.357,1.844,0.923,,1.79
2022-08-06,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.079,2.348,1.828,0.919,,1.79
2022-08-07,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.071,2.343,1.827,0.919,,1.79
2022-08-08,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.054,2.34,1.817,0.913,,
2022-08-09,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.044,2.334,1.805,0.91,,
2022-08-10,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.03,2.324,1.793,0.908,,
2022-08-11,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.024,2.305,1.787,0.908,,
2022-08-12,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.015,2.304,1.78,0.908,,
2022-08-13,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.014,2.296,1.781,0.908,,
2022-08-14,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.007,2.287,1.78,0.908,,
2022-08-15,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.011,2.292,1.779,0.908,,
2022-08-16,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.011,2.287,1.78,0.905,,
2022-08-17,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.01,2.286,1.785,0.902,,
2022-08-18,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.007,2.277,1.789,0.902,,
2022-08-19,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.007,2.275,1.794,0.897,,
2022-08-20,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.008,2.275,1.8,0.892,,
2022-08-21,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.003,2.269,1.802,0.893,,
2022-08-22,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.006,2.274,1.811,0.893,,
2022-08-23,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.008,2.275,1.816,0.891,,
2022-08-24,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.009,2.272,1.828,0.889,,
2022-08-25,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.015,2.275,1.851,0.892,,
2022-08-26,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.019,2.277,1.877,0.89,,
2022-08-27,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.019,2.278,1.887,0.891,,
2022-08-28,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.017,2.279,1.895,0.891,,
2022-08-29,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.022,2.284,1.912,0.891,,
2022-08-30,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.024,2.284,1.92,0.891,,
2022-08-31,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.023,2.277,1.926,0.891,,
2022-09-01,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.019,2.275,1.929,0.891,,
2022-09-02,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.01,2.264,1.926,0.896,,
2022-09-03,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.0,2.244,1.927,0.896,,
2022-09-04,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.996,2.238,1.925,0.896,,
2022-09-05,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.989,2.241,1.916,0.896,,
2022-09-06,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.97,2.231,1.908,0.896,,
2022-09-07,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.957,2.233,1.899,0.898,,
2022-09-08,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.954,2.229,1.897,0.898,,
2022-09-09,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.949,2.221,1.896,0.898,,
2022-09-10,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.946,2.22,1.893,0.9,,
2022-09-11,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.943,2.216,1.893,0.899,,
2022-09-12,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.942,2.215,1.889,0.903,,
2022-09-13,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.935,2.215,1.882,0.902,,
2022-09-14,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.93,2.207,1.88,0.902,,
2022-09-15,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.929,2.204,1.876,0.904,,
2022-09-16,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.926,2.203,1.869,0.906,,
