date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.397,2.546,2.045,1.154,,
2022-07-12,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.39,2.548,2.035,1.145,,
2022-07-13,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.385,2.547,2.029,1.142,,
2022-07-14,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.384,2.542,2.028,1.142,,
2022-07-15,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.377,2.529,2.027,1.141,,
2022-07-16,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.36,2.508,2.026,1.139,,
2022-07-17,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.35,2.51,2.023,1.139,,
2022-07-18,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.334,2.501,2.02,1.137,,
2022-07-19,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.334,2.501,2.02,1.137,,
2022-07-20,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.311,2.486,2.016,1.134,,
2022-07-21,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.294,2.459,2.01,1.133,,
2022-07-22,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.276,2.436,2.002,1.13,,
2022-07-23,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.261,2.425,1.985,1.131,,
2022-07-24,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.256,2.427,1.98,1.131,,
2022-07-25,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.245,2.416,1.131,,,1.967
2022-07-26,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.236,2.412,1.128,,,1.958
2022-07-27,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.224,2.397,1.948,1.125,,
2022-07-28,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.218,2.389,1.943,1.125,,
2022-07-29,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.214,2.372,1.939,1.124,,
2022-07-30,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.214,2.375,1.938,1.124,,
2022-07-31,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.212,2.381,1.937,1.124,,
2022-08-01,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.21,2.386,1.939,1.122,,
2022-08-02,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.209,2.386,1.936,1.12,,
2022-08-03,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.204,2.379,1.934,1.117,,
2022-08-04,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.198,2.368,1.924,1.115,,
2022-08-05,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.188,2.343,1.911,1.113,,
2022-08-06,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.17,2.34,1.896,1.111,,
2022-08-07,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.163,2.338,1.891,1.111,,
2022-08-08,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.146,2.318,1.88,1.108,,
2022-08-09,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.132,2.316,1.869,1.107,,
2022-08-10,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.117,2.308,1.859,1.105,,
2022-08-11,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.105,2.284,1.851,1.101,,
2022-08-12,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.107,2.279,1.846,1.094,,
2022-08-13,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.107,2.278,1.846,1.094,,
2022-08-14,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.107,2.278,1.846,1.094,,
2022-08-15,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.104,2.276,1.843,1.094,,
2022-08-16,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.104,2.28,1.844,1.093,,
2022-08-17,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.103,2.277,1.846,1.093,,
2022-08-18,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.102,2.273,1.851,1.093,,
2022-08-19,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.1,2.264,1.861,1.091,,
2022-08-20,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.102,2.27,1.872,1.086,,
2022-08-21,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.101,2.273,1.872,1.085,,
2022-08-22,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.102,2.28,1.88,1.085,,
2022-08-23,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.103,2.282,1.891,1.083,,
2022-08-24,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.103,2.285,1.907,1.084,,
2022-08-25,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.107,2.286,1.927,1.083,,
2022-08-26,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.111,2.284,1.944,1.082,,
2022-08-27,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.11,2.286,1.959,1.082,,
2022-08-28,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.104,2.285,1.962,1.082,,
2022-08-29,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.105,2.29,1.979,1.082,,
