date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.358,2.589,2.03,1.113,,
2022-07-12,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.353,2.617,2.018,1.112,,
2022-07-13,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.348,2.617,2.012,1.1,,
2022-07-14,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.346,2.599,2.011,1.1,,
2022-07-15,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.332,2.595,2.006,1.1,,
2022-07-16,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.316,2.574,1.998,1.092,,
2022-07-17,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.314,2.57,1.998,1.092,,
2022-07-18,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.303,2.538,1.998,1.081,,
2022-07-19,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.303,2.538,1.998,1.081,,
2022-07-20,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.281,2.547,1.99,1.081,,
2022-07-21,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.269,2.539,1.985,1.081,,
2022-07-22,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.248,2.502,1.977,1.063,,
2022-07-23,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.223,2.485,1.959,1.058,,
2022-07-24,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.222,2.485,1.959,1.058,,
2022-07-25,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.214,2.465,1.056,,,1.953
2022-07-26,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.207,2.482,1.056,,,1.95
2022-07-27,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.185,2.466,1.933,1.049,,
2022-07-28,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.183,2.451,1.931,1.049,,
2022-07-29,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.179,2.447,1.929,1.045,,
2022-07-30,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.167,2.451,1.928,1.045,,
2022-07-31,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.168,2.451,1.926,1.045,,
2022-08-01,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.164,2.426,1.923,1.034,,
