date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.304,2.523,1.974,1.024,,1.988
2022-07-12,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.297,2.523,1.96,1.019,,1.988
2022-07-13,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.293,2.521,1.954,1.011,,1.988
2022-07-14,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.287,2.508,1.949,1.003,,1.978
2022-07-15,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.271,2.493,1.946,0.999,,1.978
2022-07-16,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.258,2.483,1.944,0.995,,1.978
2022-07-17,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.255,2.485,1.943,0.993,,1.978
2022-07-18,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.238,2.478,1.942,0.99,,1.978
2022-07-19,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.238,2.478,1.942,0.99,,1.978
2022-07-20,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.208,2.458,1.938,0.98,,1.978
2022-07-21,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.189,2.434,1.932,0.977,,1.978
2022-07-22,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.168,2.417,1.92,0.973,,1.978
2022-07-23,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.156,2.406,1.909,0.971,,1.978
2022-07-24,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.151,2.405,1.906,0.969,,
2022-07-25,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.135,2.395,0.966,,,1.893
2022-07-26,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.123,2.389,0.965,,,1.877
2022-07-27,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.115,2.378,1.867,0.962,,
2022-07-28,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.111,2.367,1.862,0.957,,
2022-07-29,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.111,2.356,1.861,0.956,,
2022-07-30,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.111,2.355,1.861,0.956,,
2022-07-31,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.111,2.356,1.86,0.956,,
2022-08-01,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.112,2.36,1.862,0.955,,
2022-08-02,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.111,2.36,1.859,0.954,,
2022-08-03,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.107,2.355,1.852,0.953,,1.798
2022-08-04,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.098,2.345,1.842,0.951,,1.798
2022-08-05,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.078,2.325,1.827,0.949,,1.763
2022-08-06,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.06,2.314,1.816,0.947,,1.763
2022-08-07,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.056,2.31,1.814,0.946,,1.763
2022-08-08,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.041,2.305,1.802,0.946,,
2022-08-09,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.029,2.3,1.79,0.944,,
2022-08-10,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.013,2.29,1.781,0.939,,
2022-08-11,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.001,2.267,1.772,0.936,,
2022-08-12,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,1.998,2.258,1.768,0.933,,
2022-08-13,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,1.999,2.262,1.767,0.933,,
2022-08-14,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,1.998,2.263,1.767,0.933,,
2022-08-15,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,1.998,2.267,1.766,0.933,,
2022-08-16,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.0,2.266,1.77,0.93,,
