date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.363,2.527,2.025,1.072,,
2022-07-12,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.345,2.527,1.998,1.067,,
2022-07-13,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.341,2.53,1.988,1.064,,
2022-07-14,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.338,2.531,1.987,1.051,,
2022-07-15,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.336,2.509,1.985,1.051,,
2022-07-16,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.333,2.509,1.985,1.051,,
2022-07-17,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.325,2.516,1.982,1.051,,
2022-07-18,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.305,2.503,1.981,1.046,,
2022-07-19,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.305,2.503,1.981,1.046,,
2022-07-20,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.272,2.489,1.979,1.041,,
2022-07-21,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.25,2.469,1.979,1.037,,
2022-07-22,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.24,2.451,1.968,1.021,,
2022-07-23,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.209,2.443,1.963,1.028,,
2022-07-24,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.207,2.44,1.958,1.028,,
2022-07-25,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.191,2.42,1.025,,,1.944
2022-07-26,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.181,2.42,1.025,,,1.927
2022-07-27,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.169,2.395,1.912,1.023,,
2022-07-28,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.162,2.394,1.906,1.013,,
2022-07-29,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.162,2.376,1.905,1.013,,
2022-07-30,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.164,2.376,1.905,1.013,,
2022-07-31,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.164,2.384,1.904,1.013,,
2022-08-01,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.163,2.388,1.903,1.013,,
2022-08-02,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.165,2.398,1.904,1.013,,
2022-08-03,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.16,2.398,1.904,1.013,,
2022-08-04,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.157,2.394,1.901,1.01,,
2022-08-05,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.145,2.353,1.891,1.006,,
2022-08-06,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.122,2.339,1.872,1.005,,
2022-08-07,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.112,2.339,1.864,1.005,,
2022-08-08,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.078,2.336,1.855,0.994,,
2022-08-09,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.075,2.336,1.841,0.994,,
2022-08-10,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.077,2.316,1.831,0.994,,
2022-08-11,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.066,2.307,1.82,0.985,,
2022-08-12,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.056,2.281,1.797,0.963,,
