date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.346,2.524,2.02,1.053,,
2022-07-12,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.337,2.524,2.011,1.052,,
2022-07-13,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.333,2.52,2.004,1.044,,
2022-07-14,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.33,2.516,2.0,1.041,,
2022-07-15,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.318,2.503,1.995,1.038,,
2022-07-16,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.31,2.503,1.992,1.037,,
2022-07-17,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.307,2.503,1.991,1.036,,
2022-07-18,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.299,2.509,1.986,1.027,,
2022-07-19,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.299,2.509,1.986,1.027,,
2022-07-20,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.261,2.485,1.98,1.016,,
2022-07-21,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.244,2.463,1.975,1.008,,
2022-07-22,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.211,2.435,1.959,0.999,,
2022-07-23,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.195,2.423,1.946,0.994,,
2022-07-24,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.19,2.427,1.945,0.994,,
2022-07-25,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.179,2.413,0.993,,,1.939
2022-07-26,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.161,2.4,0.991,,,1.923
2022-07-27,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.149,2.383,1.914,0.983,,
2022-07-28,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.145,2.381,1.909,0.982,,
2022-07-29,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.146,2.372,1.905,0.978,,
2022-07-30,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.147,2.373,1.906,0.977,,
2022-07-31,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.144,2.38,1.904,0.976,,
2022-08-01,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.144,2.373,1.903,0.976,,
2022-08-02,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.143,2.368,1.9,0.969,,
2022-08-03,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.142,2.36,1.899,0.969,,
2022-08-04,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.134,2.351,1.888,0.968,,
2022-08-05,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.114,2.331,1.876,0.96,,
2022-08-06,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.1,2.323,1.865,0.957,,
2022-08-07,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.093,2.323,1.863,0.954,,
2022-08-08,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.077,2.31,1.847,0.949,,
2022-08-09,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.063,2.306,1.831,0.947,,
2022-08-10,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.05,2.293,1.821,0.948,,
2022-08-11,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.039,2.278,1.814,0.945,,
2022-08-12,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.035,2.267,1.807,0.938,,
2022-08-13,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.031,2.269,1.807,0.938,,
2022-08-14,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.028,2.269,1.806,0.938,,
2022-08-15,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.029,2.274,1.806,0.938,,
2022-08-16,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.029,2.271,1.808,0.931,,
2022-08-17,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.029,2.272,1.81,0.928,,
2022-08-18,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.03,2.259,1.816,0.928,,
2022-08-19,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.031,2.256,1.824,0.925,,
2022-08-20,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.031,2.253,1.831,0.93,,
2022-08-21,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.03,2.259,1.835,0.93,,
2022-08-22,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.034,2.259,1.84,0.93,,
2022-08-23,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.037,2.259,1.852,0.928,,
2022-08-24,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.041,2.259,1.869,0.928,,
2022-08-25,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.044,2.258,1.887,0.929,,
2022-08-26,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.043,2.254,1.91,0.929,,
2022-08-27,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.046,2.255,1.928,0.929,,
2022-08-28,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.046,2.271,1.939,0.929,,
2022-08-29,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.046,2.269,1.951,0.928,,
2022-08-30,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.045,2.268,1.956,0.928,,
2022-08-31,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.046,2.268,1.96,0.926,,
2022-09-01,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.041,2.261,1.964,0.923,,
2022-09-02,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.024,2.246,1.959,0.921,,
2022-09-03,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.012,2.241,1.954,0.92,,
2022-09-04,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.01,2.244,1.953,0.919,,
2022-09-05,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.004,2.251,1.948,0.919,,
2022-09-06,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.993,2.244,1.936,0.918,,
2022-09-07,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.986,2.237,1.927,0.919,,
2022-09-08,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.979,2.221,1.922,0.92,,
2022-09-09,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.974,2.205,1.918,0.926,,
2022-09-10,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.97,2.199,1.916,0.929,,
2022-09-11,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.968,2.205,1.915,0.929,,
2022-09-12,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.961,2.197,1.911,0.931,,
2022-09-13,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.955,2.187,1.904,0.939,,
2022-09-14,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.953,2.187,1.901,0.946,,
2022-09-15,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.95,2.182,1.896,0.948,,
2022-09-16,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.949,2.176,1.891,0.948,,
2022-09-17,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.949,2.177,1.883,0.953,,
2022-09-18,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.949,2.182,1.879,0.953,,
2022-09-19,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.949,2.18,1.865,0.957,,
2022-09-20,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.951,2.178,0.957,,,1.852
2022-09-21,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.951,2.179,0.96,,,1.84
2022-09-22,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.952,2.17,0.964,,,1.837
2022-09-23,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.948,2.167,1.831,0.964,,
2022-09-24,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.948,2.169,1.83,0.967,,
2022-09-25,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.947,2.173,1.83,0.967,,
2022-09-26,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.947,2.176,1.829,0.971,,
2022-09-27,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.948,2.176,1.826,0.972,,
2022-09-28,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.951,2.172,1.823,0.973,,
2022-09-29,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.958,2.176,0.976,,,1.828
2022-09-30,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.968,2.178,0.978,,,1.835
2022-10-01,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.973,2.181,0.978,,,1.85
2022-10-02,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.974,2.191,0.978,,,1.852
2022-10-03,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.981,2.196,0.981,,,1.919
2022-10-04,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.982,2.196,0.982,,,1.936
2022-10-05,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.986,2.198,0.985,,,1.958
2022-10-06,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.989,2.195,1.974,0.987,,
2022-10-07,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.998,2.19,0.991,,,2.008
2022-10-08,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.0,2.193,0.992,,,2.029
2022-10-09,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.0,2.202,0.994,,,2.035
