date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.334,2.529,2.01,1.04,,
2022-07-12,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.328,2.524,1.999,1.027,,
2022-07-13,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.325,2.521,1.991,1.025,,
2022-07-14,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.323,2.516,1.99,1.021,,
2022-07-15,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.315,2.508,1.988,1.022,,
2022-07-16,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.292,2.493,1.985,1.014,,
2022-07-17,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.286,2.49,1.982,1.014,,
2022-07-18,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.271,2.485,1.981,1.01,,
2022-07-19,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.271,2.485,1.981,1.01,,
2022-07-20,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.246,2.482,1.971,1.005,,
2022-07-21,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.229,2.46,1.965,1.002,,
2022-07-22,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.21,2.431,1.959,0.999,,
2022-07-23,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.186,2.428,1.942,0.995,,
2022-07-24,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.183,2.415,1.94,0.995,,
2022-07-25,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.173,2.412,0.991,,,1.927
2022-07-26,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.16,2.406,0.989,,,1.917
2022-07-27,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.153,2.399,1.904,0.988,,
2022-07-28,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.15,2.396,1.898,0.982,,
2022-07-29,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.144,2.388,1.896,0.973,,
2022-07-30,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.145,2.39,1.896,0.972,,
2022-07-31,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.146,2.386,1.894,0.972,,
2022-08-01,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.148,2.384,1.892,0.972,,
2022-08-02,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.147,2.384,1.891,0.972,,
2022-08-03,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.142,2.374,1.88,0.97,,
2022-08-04,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.135,2.37,1.872,0.965,,
2022-08-05,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.116,2.341,1.857,0.963,,
2022-08-06,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.099,2.335,1.842,0.959,,
2022-08-07,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.089,2.327,1.839,0.959,,
2022-08-08,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.076,2.321,1.829,0.959,,
2022-08-09,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.06,2.311,1.822,0.958,,
2022-08-10,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.05,2.304,1.813,0.953,,
2022-08-11,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.036,2.294,1.805,0.949,,
2022-08-12,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.034,2.285,1.799,0.943,,
2022-08-13,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.037,2.277,1.796,0.943,,
2022-08-14,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.036,2.275,1.795,0.943,,
2022-08-15,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.036,2.279,1.794,0.943,,
2022-08-16,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.037,2.273,1.795,0.938,,
2022-08-17,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.036,2.272,1.8,0.938,,
2022-08-18,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.037,2.265,1.807,0.938,,
2022-08-19,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.038,2.259,1.812,0.938,,
2022-08-20,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.04,2.262,1.826,0.936,,
2022-08-21,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.04,2.264,1.828,0.936,,
2022-08-22,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.042,2.267,1.838,0.936,,
2022-08-23,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.045,2.263,1.855,0.934,,
2022-08-24,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.046,2.262,1.868,0.93,,
2022-08-25,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.048,2.261,1.88,0.939,,
2022-08-26,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.051,2.258,1.899,0.943,,
2022-08-27,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.055,2.265,1.919,0.954,,
2022-08-28,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.057,2.266,1.926,0.963,,
2022-08-29,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.053,2.27,1.948,0.96,,
2022-08-30,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.053,2.272,1.955,0.958,,
2022-08-31,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.048,2.268,1.958,0.958,,
2022-09-01,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.045,2.261,1.966,0.958,,
2022-09-02,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.03,2.25,1.962,0.952,,
2022-09-03,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.008,2.243,1.951,0.952,,
2022-09-04,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.001,2.24,1.948,0.952,,
2022-09-05,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.993,2.244,1.938,0.952,,
2022-09-06,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.986,2.24,1.932,0.951,,
2022-09-07,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.982,2.234,1.924,0.951,,
2022-09-08,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.976,2.229,1.921,0.951,,
2022-09-09,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.973,2.223,1.918,0.953,,
2022-09-10,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.968,2.213,1.917,0.958,,
2022-09-11,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.968,2.211,1.915,0.957,,
2022-09-12,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.961,2.209,1.909,0.959,,
2022-09-13,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.96,2.209,1.904,0.959,,
2022-09-14,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.957,2.206,1.901,0.965,,
2022-09-15,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.956,2.19,1.894,0.965,,
2022-09-16,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.957,2.187,1.887,0.968,,
2022-09-17,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.958,2.184,1.876,0.977,,
2022-09-18,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.958,2.181,1.87,0.977,,
2022-09-19,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.956,2.186,1.852,0.979,,
2022-09-20,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.955,2.186,0.969,,,1.846
2022-09-21,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.955,2.186,0.973,,,1.836
2022-09-22,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.953,2.182,0.973,,,1.827
2022-09-23,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.949,2.171,1.82,0.973,,
2022-09-24,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.948,2.171,1.818,0.974,,
2022-09-25,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.948,2.167,1.818,0.974,,
2022-09-26,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.947,2.173,1.817,0.973,,
2022-09-27,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.948,2.163,1.816,0.975,,
2022-09-28,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.951,2.16,1.816,0.977,,
2022-09-29,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.955,2.167,0.977,,,1.817
2022-09-30,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.967,2.166,0.978,,,1.823
2022-10-01,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.977,2.175,0.979,,,1.852
2022-10-02,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.979,2.172,0.979,,,1.857
2022-10-03,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.983,2.178,0.978,,,1.859
2022-10-04,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.985,2.186,0.978,,,1.912
2022-10-05,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.989,2.179,0.97,,,1.915
2022-10-06,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.99,2.177,1.933,0.975,,
2022-10-07,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.996,2.173,0.977,,,1.959
2022-10-08,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.007,2.183,0.98,,,1.959
2022-10-09,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.008,2.183,0.981,,,1.962
2022-10-10,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.013,2.194,0.996,,,1.976
2022-10-11,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.02,2.208,1.003,,,2.064
2022-10-12,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.025,2.209,2.098,1.006,,
2022-10-13,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.027,2.218,1.013,,,2.123
2022-10-14,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.028,2.215,2.133,1.015,1.406,
2022-10-15,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.029,2.215,2.138,1.017,1.394,
2022-10-16,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.031,2.214,1.017,1.393,,2.143
2022-10-17,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.032,2.216,2.147,1.013,1.394,
2022-10-18,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.031,2.221,1.011,1.4,,2.145
2022-10-19,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.031,2.221,2.146,1.011,1.401,
2022-10-20,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.031,2.221,2.15,1.011,1.401,
2022-10-21,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.032,2.215,2.153,1.018,1.399,
2022-10-22,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.029,2.215,2.149,1.018,1.394,
2022-10-23,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.028,2.215,2.149,1.018,1.394,
2022-10-24,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.024,2.222,2.138,1.018,1.392,
2022-10-25,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.024,2.222,1.017,1.389,,2.135
2022-10-26,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.025,2.222,2.128,1.019,1.387,
2022-10-27,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.028,2.218,1.015,1.381,,2.119
2022-10-28,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.028,2.221,1.011,1.38,,2.119
2022-10-29,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.032,2.226,1.01,1.377,,2.115
2022-10-30,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.033,2.227,1.009,1.376,,2.115
2022-10-31,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.035,2.228,1.009,1.376,,2.11
2022-11-01,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.04,2.23,1.009,1.371,,2.102
2022-11-02,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.045,2.231,2.1,1.014,1.36,
2022-11-03,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.049,2.228,2.095,1.013,1.35,
2022-11-04,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.062,2.22,1.009,1.342,,2.091
2022-11-05,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.077,2.235,2.09,1.01,1.341,
2022-11-06,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.08,2.238,2.09,1.01,1.341,
2022-11-07,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.09,2.252,2.088,1.011,1.337,
2022-11-08,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.1,2.256,1.012,1.336,,2.09
2022-11-09,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.109,2.263,1.012,1.332,,2.09
2022-11-10,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.115,2.26,1.008,1.328,,2.092
2022-11-11,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.117,2.255,2.089,1.008,1.324,
2022-11-12,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.11,2.257,2.082,1.008,1.305,
2022-11-13,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.11,2.257,2.078,1.009,1.299,
2022-11-14,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.108,2.257,2.069,1.01,1.282,
2022-11-15,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.101,2.258,1.01,1.265,,2.051
