date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.384,2.592,2.042,1.073,,
2022-07-12,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.378,2.597,2.035,1.069,,
2022-07-13,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.372,2.601,2.028,1.076,,
2022-07-14,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.365,2.6,2.022,1.062,,
2022-07-15,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.357,2.585,2.016,1.058,,
2022-07-16,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.35,2.577,2.014,1.054,,
2022-07-17,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.345,2.575,2.013,1.054,,
2022-07-18,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.322,2.585,2.009,1.052,,
2022-07-19,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.322,2.585,2.009,1.052,,
2022-07-20,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.298,2.57,2.005,1.049,,
2022-07-21,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.281,2.558,1.997,1.05,,
2022-07-22,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.27,2.532,1.99,1.039,,
2022-07-23,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.256,2.528,1.982,1.039,,
2022-07-24,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.244,2.511,1.974,1.039,,
2022-07-25,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.226,2.509,1.038,,,1.958
2022-07-26,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.212,2.508,1.036,,,1.951
2022-07-27,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.2,2.468,1.939,1.031,,
2022-07-28,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.195,2.468,1.933,1.029,,
2022-07-29,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.184,2.453,1.93,1.028,,
2022-07-30,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.184,2.449,1.927,1.025,,
2022-07-31,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.182,2.442,1.924,1.024,,
2022-08-01,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.185,2.448,1.923,1.02,,
2022-08-02,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.184,2.452,1.921,1.019,,
2022-08-03,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.177,2.452,1.918,1.019,,
2022-08-04,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.168,2.445,1.91,1.018,,
2022-08-05,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.156,2.43,1.898,1.01,,
2022-08-06,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.142,2.427,1.886,1.004,,
2022-08-07,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.136,2.418,1.882,0.997,,
2022-08-08,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.113,2.411,1.87,0.997,,
2022-08-09,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.105,2.416,1.86,0.988,,
2022-08-10,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.094,2.414,1.852,0.987,,
2022-08-11,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.088,2.398,1.843,0.993,,
2022-08-12,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.076,2.371,1.831,0.987,,
2022-08-13,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.075,2.37,1.831,0.987,,
2022-08-14,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.072,2.357,1.829,0.987,,
2022-08-15,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.072,2.356,1.829,0.987,,
2022-08-16,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.073,2.357,1.832,0.974,,
2022-08-17,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.074,2.361,1.834,0.974,,1.799
2022-08-18,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.074,2.361,1.838,0.974,,
2022-08-19,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.071,2.353,1.842,0.973,,
2022-08-20,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.072,2.351,1.847,0.973,,
2022-08-21,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.072,2.341,1.85,0.972,,
2022-08-22,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.068,2.34,1.855,0.972,,
2022-08-23,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.069,2.348,1.868,0.971,,1.799
2022-08-24,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.074,2.343,1.874,0.971,,
2022-08-25,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.078,2.337,1.896,0.97,,
2022-08-26,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.082,2.331,1.914,0.969,,
2022-08-27,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.081,2.322,1.925,0.969,,
2022-08-28,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.082,2.326,1.934,0.969,,
2022-08-29,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.08,2.334,1.951,0.971,,
2022-08-30,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.079,2.335,1.959,0.968,,
2022-08-31,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.08,2.339,1.97,0.971,,
2022-09-01,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.076,2.334,1.973,0.988,,
2022-09-02,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.06,2.315,1.973,0.99,,
