date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.385,2.575,2.03,1.189,,
2022-07-12,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.378,2.578,2.02,1.189,,
2022-07-13,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.375,2.573,2.015,1.189,,
2022-07-14,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.367,2.564,2.011,1.178,,
2022-07-15,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.35,2.544,2.007,1.178,,
2022-07-16,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.344,2.539,2.004,1.178,,
2022-07-17,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.342,2.542,2.001,1.178,,
2022-07-18,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.325,2.532,2.0,1.162,,
2022-07-19,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.325,2.532,2.0,1.162,,
2022-07-20,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.301,2.528,1.996,1.149,,
2022-07-21,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.279,2.513,1.992,1.131,,
2022-07-22,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.255,2.499,1.981,1.11,,
2022-07-23,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.248,2.477,1.976,1.105,,
2022-07-24,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.247,2.479,1.974,1.105,,
2022-07-25,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.234,2.465,1.095,,,1.965
2022-07-26,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.23,2.467,1.085,,,1.955
2022-07-27,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.218,2.458,1.948,1.08,,
2022-07-28,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.209,2.461,1.941,1.075,,
2022-07-29,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.191,2.457,1.928,1.07,,
2022-07-30,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.19,2.452,1.924,1.06,,
2022-07-31,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.184,2.456,1.923,1.055,,
2022-08-01,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.186,2.457,1.922,1.05,,
2022-08-02,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.183,2.438,1.92,1.049,,
2022-08-03,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.182,2.436,1.913,1.045,,
2022-08-04,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.18,2.434,1.91,1.045,,
2022-08-05,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.162,2.415,1.892,1.045,,
2022-08-06,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.139,2.393,1.874,1.049,,
2022-08-07,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.137,2.397,1.872,1.049,,
2022-08-08,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.123,2.39,1.861,1.049,,
2022-08-09,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.112,2.388,1.853,1.049,,
2022-08-10,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.101,2.378,1.843,1.049,,
2022-08-11,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.082,2.37,1.836,1.049,,
2022-08-12,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.076,2.37,1.829,1.051,,
2022-08-13,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.078,2.338,1.827,1.051,,
2022-08-14,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.078,2.34,1.825,1.051,,
2022-08-15,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.079,2.342,1.825,1.051,,
2022-08-16,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.079,2.33,1.827,1.044,,
2022-08-17,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.078,2.339,1.826,1.044,,
2022-08-18,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.078,2.332,1.828,1.044,,
2022-08-19,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.079,2.329,1.843,1.038,,
2022-08-20,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.079,2.349,1.846,1.033,,
2022-08-21,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.079,2.344,1.846,1.016,,
2022-08-22,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.079,2.358,1.86,0.998,,
2022-08-23,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.08,2.366,1.865,0.988,,
2022-08-24,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.081,2.371,1.881,0.988,,
2022-08-25,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.079,2.38,1.898,0.988,,
2022-08-26,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.082,2.394,1.938,0.988,,
2022-08-27,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.083,2.386,1.945,0.988,,
2022-08-28,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.083,2.39,1.949,0.988,,
2022-08-29,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.083,2.378,1.959,0.989,,
2022-08-30,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.084,2.381,1.966,0.985,,
2022-08-31,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.083,2.375,1.967,0.985,,
2022-09-01,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.076,2.36,1.97,0.98,,
2022-09-02,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.055,2.348,1.972,0.974,,
2022-09-03,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.047,2.343,1.967,0.972,,
2022-09-04,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.046,2.345,1.967,0.972,,
2022-09-05,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.034,2.339,1.962,0.972,,
2022-09-06,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.022,2.328,1.953,0.972,,
2022-09-07,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.014,2.325,1.948,0.972,,
2022-09-08,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.006,2.301,1.943,0.972,,
2022-09-09,ΝΟΜΟΣ ΞΑΝΘΗΣ,1.999,2.309,1.942,0.972,,
2022-09-10,ΝΟΜΟΣ ΞΑΝΘΗΣ,1.998,2.279,1.941,0.972,,
2022-09-11,ΝΟΜΟΣ ΞΑΝΘΗΣ,1.996,2.281,1.939,0.971,,
2022-09-12,ΝΟΜΟΣ ΞΑΝΘΗΣ,1.994,2.284,1.927,0.971,,
2022-09-13,ΝΟΜΟΣ ΞΑΝΘΗΣ,1.992,2.287,1.924,0.971,,
