date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.339,2.536,2.012,1.057,,
2022-07-12,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.33,2.511,1.995,1.043,,
2022-07-13,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.324,2.526,1.979,1.039,,
2022-07-14,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.323,2.526,1.976,1.036,,
2022-07-15,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.311,2.516,1.971,1.034,,
2022-07-16,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.295,2.496,1.967,1.033,,
2022-07-17,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.294,2.494,1.965,1.031,,
2022-07-18,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.276,2.483,1.966,1.02,,
2022-07-19,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.276,2.483,1.966,1.02,,
2022-07-20,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.249,2.465,1.964,1.016,,
2022-07-21,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.236,2.452,1.957,1.018,,
2022-07-22,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.221,2.436,1.943,1.013,,
2022-07-23,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.213,2.427,1.94,1.012,,
2022-07-24,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.206,2.425,1.939,1.012,,
2022-07-25,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.185,2.414,1.007,,,1.927
2022-07-26,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.168,2.379,0.999,,,1.912
2022-07-27,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.144,2.376,1.892,0.993,,
