date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.381,2.592,2.036,1.123,,
2022-07-12,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.373,2.588,2.025,1.12,,
2022-07-13,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.367,2.588,2.02,1.107,,
2022-07-14,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.361,2.582,2.014,1.108,,
2022-07-15,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.35,2.573,2.008,1.1,,
2022-07-16,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.34,2.565,2.008,1.099,,
2022-07-17,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.334,2.565,2.004,1.099,,
2022-07-18,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.321,2.565,2.001,1.099,,
2022-07-19,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.321,2.565,2.001,1.099,,
2022-07-20,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.301,2.546,1.999,1.095,,
2022-07-21,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.282,2.538,1.995,1.095,,
2022-07-22,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.256,2.517,1.984,1.084,,
2022-07-23,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.238,2.511,1.975,1.079,,
2022-07-24,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.234,2.508,1.971,1.078,,
2022-07-25,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.216,2.498,1.074,,,1.957
2022-07-26,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.199,2.488,1.08,,,1.945
2022-07-27,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.187,2.474,1.938,1.077,,
2022-07-28,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.182,2.476,1.933,1.07,,
2022-07-29,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.175,2.461,1.928,1.061,,
2022-07-30,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.173,2.461,1.927,1.061,,
2022-07-31,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.172,2.462,1.926,1.061,,
2022-08-01,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.17,2.469,1.922,1.061,,
2022-08-02,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.17,2.471,1.92,1.059,,
2022-08-03,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.169,2.47,1.917,1.058,,
2022-08-04,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.165,2.464,1.907,1.055,,
2022-08-05,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.153,2.454,1.901,1.049,,1.849
2022-08-06,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.143,2.448,1.889,1.044,,1.849
2022-08-07,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.137,2.444,1.882,1.044,,1.849
2022-08-08,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.114,2.434,1.865,1.042,,
2022-08-09,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.098,2.423,1.853,1.04,,
2022-08-10,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.088,2.411,1.845,1.028,,
2022-08-11,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.077,2.4,1.834,1.018,,
2022-08-12,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.067,2.39,1.825,1.015,,
2022-08-13,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.063,2.389,1.824,1.015,,
2022-08-14,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.063,2.39,1.823,1.015,,
2022-08-15,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.062,2.397,1.823,1.015,,
2022-08-16,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.063,2.393,1.822,1.01,,
2022-08-17,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.066,2.387,1.829,1.005,,
2022-08-18,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.066,2.382,1.833,1.005,,
2022-08-19,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.065,2.375,1.838,1.005,,
2022-08-20,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.066,2.358,1.846,1.004,,
2022-08-21,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.066,2.359,1.848,1.002,,
2022-08-22,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.065,2.359,1.853,1.002,,
2022-08-23,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.066,2.352,1.861,1.001,,
2022-08-24,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.067,2.353,1.876,1.002,,
2022-08-25,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.068,2.346,1.897,1.004,,
2022-08-26,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.07,2.326,1.914,1.004,,
2022-08-27,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.071,2.326,1.937,1.007,,
2022-08-28,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.07,2.332,1.943,1.008,,
