date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.351,2.545,2.048,1.079,,
2022-07-12,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.332,2.525,2.016,1.076,,
2022-07-13,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.326,2.511,2.009,1.087,,
2022-07-14,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.31,2.511,1.987,1.075,,
2022-07-15,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.309,2.506,1.987,1.075,,
2022-07-16,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.306,2.506,1.988,1.068,,
2022-07-17,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.302,2.506,1.983,1.056,,
2022-07-18,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.292,2.511,1.983,1.056,,
2022-07-19,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.292,2.511,1.983,1.056,,
2022-07-20,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.269,2.502,1.977,1.048,,
2022-07-21,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.252,2.497,1.977,1.05,,
2022-07-22,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.23,2.492,1.972,1.046,,
2022-07-23,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.222,2.475,1.969,1.042,,
2022-07-24,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.222,2.462,1.968,1.042,,
2022-07-25,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.211,2.462,1.033,,,1.962
2022-07-26,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.196,2.46,1.033,,,1.942
2022-07-27,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.167,2.454,1.925,1.033,,
2022-07-28,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.168,2.454,1.923,1.033,,
2022-07-29,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.157,2.449,1.916,1.033,,
2022-07-30,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.153,2.449,1.914,1.033,,
2022-07-31,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.151,2.449,1.913,1.036,,
2022-08-01,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.15,2.454,1.913,1.035,,
2022-08-02,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.149,2.449,1.913,1.035,,
2022-08-03,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.146,2.449,1.912,1.035,,
2022-08-04,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.146,2.449,1.909,1.035,,
2022-08-05,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.138,2.461,1.906,1.028,,
2022-08-06,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.102,2.432,1.876,1.019,,
2022-08-07,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.089,2.417,1.865,1.008,,
2022-08-08,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.084,2.427,1.854,1.001,,
2022-08-09,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.079,2.376,1.849,0.996,,
2022-08-10,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.072,2.369,1.848,0.996,,
