date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.398,2.57,2.079,1.122,,
2022-07-12,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.39,2.566,2.064,1.112,,
2022-07-13,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.385,2.565,2.06,1.112,,
2022-07-14,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.385,2.573,2.058,1.112,,
2022-07-15,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.383,2.57,2.047,1.112,,
2022-07-16,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.375,2.57,2.047,1.112,,
2022-07-17,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.375,2.57,2.047,1.112,,
2022-07-18,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.356,2.568,2.039,1.105,,
2022-07-19,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.356,2.568,2.039,1.105,,
2022-07-20,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.327,2.547,2.031,1.079,,
2022-07-21,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.317,2.543,2.032,1.079,,
2022-07-22,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.299,2.54,2.02,1.079,,
2022-07-23,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.279,2.53,2.014,1.079,,
2022-07-24,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.277,2.53,2.012,1.079,,
2022-07-25,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.254,2.53,1.079,,,2.006
2022-07-26,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.248,2.518,1.079,,,2.0
2022-07-27,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.235,2.51,1.987,1.066,,
2022-07-28,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.233,2.495,1.979,1.066,,
2022-07-29,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.217,2.493,1.973,1.066,,
2022-07-30,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.217,2.481,1.97,1.066,,
2022-07-31,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.218,2.481,1.97,1.066,,
2022-08-01,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.218,2.484,1.968,1.066,,
2022-08-02,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.217,2.484,1.966,1.059,,
2022-08-03,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.208,2.483,1.967,1.059,,
2022-08-04,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.207,2.481,1.957,1.049,,
