,date,prefecture,unleaded_95,unleaded_100,diesel_driving,autogas,prefecture_eng
0,29-03-2026,ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ,2.057,2.256,2.124,1.395,ETOLOAKARNANIAS
1,29-03-2026,ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ,2.056,2.241,2.102,1.408,ARGOLIDAS
2,29-03-2026,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.052,2.229,2.114,1.39,ARKADIAS
3,29-03-2026,ΝΟΜΟΣ ΑΡΤΗΣ,2.04,2.257,2.094,1.372,ARTAS
4,29-03-2026,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.04,2.268,2.117,1.423,ACHAIAS
5,29-03-2026,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.045,2.254,2.098,1.392,VIOTIAS
6,29-03-2026,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,2.052,2.273,2.104,1.375,GREVENON
7,29-03-2026,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.051,2.247,2.112,1.36,DRAMAS
8,29-03-2026,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,2.116,2.323,2.154,1.362,DODEKANISON
9,29-03-2026,ΝΟΜΟΣ ΕΒΡΟΥ,2.044,2.259,2.107,1.348,EVROU
10,29-03-2026,ΝΟΜΟΣ ΕΥΒΟΙΑΣ,2.054,2.241,2.116,1.438,EVVIAS
11,29-03-2026,ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ,2.043,2.339,2.09,1.447,EVRYTANIAS
12,29-03-2026,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.075,2.239,2.106,1.353,ZAKYNTHOU
13,29-03-2026,ΝΟΜΟΣ ΗΛΕΙΑΣ,2.042,2.205,2.102,1.317,ILIAS
14,29-03-2026,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.034,2.226,2.096,1.353,IMATHIAS
15,29-03-2026,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.108,2.269,2.158,1.463,IRAKLIOU
16,29-03-2026,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.036,2.22,2.138,1.446,THESPROTIAS
17,29-03-2026,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.043,2.251,2.113,1.373,THESSALONIKIS
18,29-03-2026,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,2.044,2.278,2.115,1.344,IOANNINON
19,29-03-2026,ΝΟΜΟΣ ΚΑΒΑΛΑΣ,2.04,2.239,2.106,1.391,KAVALAS
20,29-03-2026,ΝΟΜΟΣ ΚΑΡΔΙΤΣΗΣ,2.046,2.226,2.104,1.366,KARDITSAS
21,29-03-2026,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.042,2.222,2.099,1.365,KASTORIAS
22,29-03-2026,ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,2.093,2.274,2.148,1.474,KERKYRAS
23,29-03-2026,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,2.073,2.276,2.129,1.369,KEFALLONIAS
24,29-03-2026,ΝΟΜΟΣ ΚΙΛΚΙΣ,2.047,2.23,2.114,1.365,KILKIS
25,29-03-2026,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.039,2.226,2.118,1.357,KOZANIS
26,29-03-2026,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.037,2.221,2.126,1.394,KORINTHOU
27,29-03-2026,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,2.157,2.374,2.184,1.411,KYKLADON
28,29-03-2026,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.044,2.215,2.096,1.349,LAKONIAS
29,29-03-2026,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,2.034,2.242,2.101,1.341,LARISAS
30,29-03-2026,ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ,2.086,2.284,2.147,1.411,LASITHIOU
31,29-03-2026,ΝΟΜΟΣ ΛΕΣΒΟΥ,2.044,2.22,2.075,1.315,LESVOU
32,29-03-2026,ΝΟΜΟΣ ΛΕΥΚΑΔΟΣ,2.067,2.249,2.114,1.273,LEFKADAS
33,29-03-2026,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,2.055,2.253,2.105,1.353,MAGNISIAS
34,29-03-2026,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,2.045,2.245,2.106,1.374,MESSINIAS
35,29-03-2026,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.025,2.246,2.094,1.318,XANTHIS
36,29-03-2026,ΝΟΜΟΣ ΠΕΛΛΗΣ,2.034,2.225,2.097,1.34,PELLAS
37,29-03-2026,ΝΟΜΟΣ ΠΙΕΡΙΑΣ,2.029,2.234,2.081,1.379,PIERIAS
38,29-03-2026,ΝΟΜΟΣ ΠΡΕΒΕΖΗΣ,2.041,2.197,2.114,1.354,PREVEZAS
39,29-03-2026,ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ,2.091,2.256,2.14,1.479,RETHYMNOU
40,29-03-2026,ΝΟΜΟΣ ΡΟΔΟΠΗΣ,2.032,2.261,2.09,1.331,RODOPIS
41,29-03-2026,ΝΟΜΟΣ ΣΑΜΟΥ,2.036,2.219,2.052,1.192,SAMOU
42,29-03-2026,ΝΟΜΟΣ ΣΕΡΡΩΝ,2.031,2.214,2.071,1.341,SERRON
43,29-03-2026,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.042,2.225,2.118,1.368,TRIKALON
44,29-03-2026,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.035,2.271,2.094,1.391,FTHIOTIDAS
45,29-03-2026,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.03,2.227,2.097,1.4,FLORINAS
46,29-03-2026,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.064,2.256,2.123,1.453,FOKIDAS
47,29-03-2026,ΝΟΜΟΣ ΧΑΛΚΙΔΙΚΗΣ,2.052,2.244,2.117,1.357,CHALKIDIKIS
48,29-03-2026,ΝΟΜΟΣ ΧΑΝΙΩΝ,2.094,2.278,2.155,1.494,CHANION
49,29-03-2026,ΝΟΜΟΣ ΧΙΟΥ,2.014,2.203,2.011,1.479,CHIOU
50,29-03-2026,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.029,2.261,2.114,1.359,ATHINON
51,29-03-2026,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.029,2.261,2.114,1.359,ANATOLIKIS ATTIKIS
52,29-03-2026,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.029,2.261,2.114,1.359,DYTIKIS ATTIKIS
53,29-03-2026,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.029,2.261,2.114,1.359,PIREOS KE NISON
