date,prefecture,unleaded_95,unleaded_100,diesel_driving,autogas,prefecture_eng
28-05-2026,ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ,2.138,2.334,1.812,1.184,ETOLOAKARNANIAS
28-05-2026,ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ,2.124,2.333,1.792,1.048,ARGOLIDAS
28-05-2026,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.123,2.325,1.8,1.203,ARKADIAS
28-05-2026,ΝΟΜΟΣ ΑΡΤΗΣ,2.116,2.327,1.772,1.061,ARTAS
28-05-2026,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.105,2.329,1.793,1.232,ACHAIAS
28-05-2026,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.12,2.333,1.794,1.186,VIOTIAS
28-05-2026,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,2.142,2.365,1.806,1.219,GREVENON
28-05-2026,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.123,2.287,1.768,1.121,DRAMAS
28-05-2026,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,2.214,2.411,1.899,1.428,DODEKANISON
28-05-2026,ΝΟΜΟΣ ΕΒΡΟΥ,2.123,2.324,1.795,1.258,EVROU
28-05-2026,ΝΟΜΟΣ ΕΥΒΟΙΑΣ,2.123,2.325,1.795,1.195,EVVIAS
28-05-2026,ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ,2.099,2.401,1.813,1.281,EVRYTANIAS
28-05-2026,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.174,2.34,1.847,1.282,ZAKYNTHOU
28-05-2026,ΝΟΜΟΣ ΗΛΕΙΑΣ,2.125,2.307,1.782,1.092,ILIAS
28-05-2026,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.104,2.299,1.762,1.022,IMATHIAS
28-05-2026,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.172,2.34,1.851,1.361,IRAKLIOU
28-05-2026,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.127,2.322,1.823,1.177,THESPROTIAS
28-05-2026,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.107,2.312,1.777,1.06,THESSALONIKIS
28-05-2026,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,2.108,2.341,1.786,1.03,IOANNINON
28-05-2026,ΝΟΜΟΣ ΚΑΒΑΛΑΣ,2.12,2.31,1.777,1.05,KAVALAS
28-05-2026,ΝΟΜΟΣ ΚΑΡΔΙΤΣΗΣ,2.121,2.279,1.803,1.141,KARDITSAS
28-05-2026,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.112,2.31,1.81,1.125,KASTORIAS
28-05-2026,ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,2.17,2.351,1.847,1.459,KERKYRAS
28-05-2026,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,2.191,2.37,1.866,1.231,KEFALLONIAS
28-05-2026,ΝΟΜΟΣ ΚΙΛΚΙΣ,2.118,2.301,1.773,1.14,KILKIS
28-05-2026,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.11,2.274,1.787,1.037,KOZANIS
28-05-2026,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.102,2.307,1.775,1.128,KORINTHOU
28-05-2026,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,2.286,2.476,1.981,1.408,KYKLADON
28-05-2026,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.128,2.343,1.817,1.127,LAKONIAS
28-05-2026,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,2.116,2.313,1.782,1.101,LARISAS
28-05-2026,ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ,2.172,2.349,1.842,1.283,LASITHIOU
28-05-2026,ΝΟΜΟΣ ΛΕΣΒΟΥ,2.155,2.351,1.886,1.297,LESVOU
28-05-2026,ΝΟΜΟΣ ΛΕΥΚΑΔΟΣ,2.152,2.324,1.847,1.249,LEFKADAS
28-05-2026,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,2.128,2.321,1.795,1.109,MAGNISIAS
28-05-2026,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,2.132,2.327,1.812,1.248,MESSINIAS
28-05-2026,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.118,2.335,1.795,1.097,XANTHIS
28-05-2026,ΝΟΜΟΣ ΠΕΛΛΗΣ,2.116,2.294,1.786,1.081,PELLAS
28-05-2026,ΝΟΜΟΣ ΠΙΕΡΙΑΣ,2.103,2.327,1.765,1.114,PIERIAS
28-05-2026,ΝΟΜΟΣ ΠΡΕΒΕΖΗΣ,2.121,2.271,1.778,1.097,PREVEZAS
28-05-2026,ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ,2.175,2.321,1.833,1.271,RETHYMNOU
28-05-2026,ΝΟΜΟΣ ΡΟΔΟΠΗΣ,2.124,2.33,1.778,1.114,RODOPIS
