date,prefecture,Αμόλυβδη 95,Αμόλυβδη 100,Diesel Κίνησης,Autogas,Diesel Θέρμανσης,Super
2022-07-11,ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ,2.387,2.613,2.046,1.166,,
2022-07-11,ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ,2.35,2.559,2.009,1.04,,
2022-07-11,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.382,2.583,2.031,1.093,,
2022-07-11,ΝΟΜΟΣ ΑΡΤΗΣ,2.359,2.55,2.022,1.114,,
2022-07-11,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.299,2.516,1.966,0.99,,2.105
2022-07-11,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.342,2.56,2.018,1.155,,
2022-07-11,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.355,2.575,2.017,1.099,,2.049
2022-07-11,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,2.402,2.608,2.099,1.143,,
2022-07-11,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.349,2.555,2.005,1.074,,
2022-07-11,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,2.489,2.635,2.125,1.252,,
2022-07-11,ΝΟΜΟΣ ΕΒΡΟΥ,2.359,2.551,2.026,1.165,,
2022-07-11,ΝΟΜΟΣ ΕΥΒΟΙΑΣ,2.357,2.545,2.03,1.065,,
2022-07-11,ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ,2.436,2.621,2.097,1.072,,
2022-07-11,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.379,2.542,2.045,1.211,,
2022-07-11,ΝΟΜΟΣ ΗΛΕΙΑΣ,2.362,2.548,2.018,1.076,,
2022-07-11,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.324,2.521,1.987,1.003,,
2022-07-11,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.397,2.546,2.045,1.154,,
2022-07-11,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.358,2.589,2.03,1.113,,
2022-07-11,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.304,2.523,1.974,1.024,,1.988
2022-07-11,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,2.357,2.564,2.02,1.067,,
2022-07-11,ΝΟΜΟΣ ΚΑΒΑΛΑΣ,2.362,2.573,2.026,1.105,,
2022-07-11,ΝΟΜΟΣ ΚΑΡΔΙΤΣΗΣ,2.355,2.605,2.024,1.09,,
2022-07-11,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.363,2.527,2.025,1.072,,
2022-07-11,ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,2.4,2.598,2.062,1.203,,
2022-07-11,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,2.435,2.67,2.094,1.23,,2.197
2022-07-11,ΝΟΜΟΣ ΚΙΛΚΙΣ,2.347,2.517,2.03,1.082,,2.12
2022-07-11,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.346,2.524,2.02,1.053,,
2022-07-11,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.334,2.529,2.01,1.04,,
2022-07-11,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,2.62,2.767,2.247,1.324,,
2022-07-11,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.384,2.592,2.042,1.073,,
2022-07-11,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,2.347,2.551,2.005,1.061,,2.645
2022-07-11,ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ,2.411,2.586,2.068,1.234,,
2022-07-11,ΝΟΜΟΣ ΛΕΣΒΟΥ,2.414,2.599,2.095,1.171,,
2022-07-11,ΝΟΜΟΣ ΛΕΥΚΑΔΟΣ,2.394,2.594,2.044,1.108,,
2022-07-11,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,2.398,2.601,2.047,1.099,,
2022-07-11,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,2.37,2.57,2.025,1.115,,1.995
2022-07-11,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.385,2.575,2.03,1.189,,
2022-07-11,ΝΟΜΟΣ ΠΕΛΛΗΣ,2.359,2.515,2.019,1.035,,
2022-07-11,ΝΟΜΟΣ ΠΙΕΡΙΑΣ,2.333,2.499,1.986,1.085,,
2022-07-11,ΝΟΜΟΣ ΠΡΕΒΕΖΗΣ,2.345,2.512,2.0,1.029,,
2022-07-11,ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ,2.415,2.583,2.066,1.191,,
2022-07-11,ΝΟΜΟΣ ΡΟΔΟΠΗΣ,2.354,2.549,2.017,1.056,,2.129
2022-07-11,ΝΟΜΟΣ ΣΑΜΟΥ,2.45,2.56,2.108,1.197,,
2022-07-11,ΝΟΜΟΣ ΣΕΡΡΩΝ,2.35,2.554,2.001,1.068,,
2022-07-11,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,2.339,2.536,2.012,1.057,,
2022-07-11,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,2.381,2.592,2.036,1.123,,
2022-07-11,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,2.351,2.545,2.048,1.079,,
2022-07-11,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,2.398,2.57,2.079,1.122,,
2022-07-11,ΝΟΜΟΣ ΧΑΛΚΙΔΙΚΗΣ,2.382,2.581,2.043,1.083,,2.149
2022-07-11,ΝΟΜΟΣ ΧΑΝΙΩΝ,2.388,2.572,2.044,1.211,,
2022-07-11,ΝΟΜΟΣ ΧΙΟΥ,2.324,2.547,2.006,1.369,,
2022-07-12,ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ,2.383,2.613,2.037,1.163,,
2022-07-12,ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ,2.344,2.562,2.001,1.038,,
2022-07-12,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.373,2.582,2.023,1.085,,
2022-07-12,ΝΟΜΟΣ ΑΡΤΗΣ,2.344,2.55,2.01,1.111,,
2022-07-12,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,2.295,2.518,1.957,0.984,,2.105
2022-07-12,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.336,2.56,2.009,1.148,,
2022-07-12,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.348,2.572,2.006,1.097,,2.049
2022-07-12,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,2.394,2.606,2.076,1.129,,
